ID,timestamp,item,corporation,location,supply(kg),price(원/kg)
TG_A_J_20190101,2019-01-01,TG,A,J,0.0,0.0
TG_A_J_20190102,2019-01-02,TG,A,J,0.0,0.0
TG_A_J_20190103,2019-01-03,TG,A,J,60601.0,1728.0
TG_A_J_20190104,2019-01-04,TG,A,J,25000.0,1408.0
TG_A_J_20190105,2019-01-05,TG,A,J,32352.0,1250.0
TG_A_J_20190106,2019-01-06,TG,A,J,0.0,0.0
TG_A_J_20190107,2019-01-07,TG,A,J,44995.0,1474.0
TG_A_J_20190108,2019-01-08,TG,A,J,26975.0,1326.0
TG_A_J_20190109,2019-01-09,TG,A,J,29265.0,1428.0
TG_A_J_20190110,2019-01-10,TG,A,J,21226.0,1433.0
TG_A_J_20190111,2019-01-11,TG,A,J,25752.0,1546.0
TG_A_J_20190112,2019-01-12,TG,A,J,35488.0,1374.0
TG_A_J_20190113,2019-01-13,TG,A,J,0.0,0.0
TG_A_J_20190114,2019-01-14,TG,A,J,15320.0,1694.0
TG_A_J_20190115,2019-01-15,TG,A,J,40486.0,1456.0
TG_A_J_20190116,2019-01-16,TG,A,J,37623.0,1470.0
TG_A_J_20190117,2019-01-17,TG,A,J,3956.0,2919.0
TG_A_J_20190118,2019-01-18,TG,A,J,39275.0,1374.0
TG_A_J_20190119,2019-01-19,TG,A,J,22295.0,1330.0
TG_A_J_20190120,2019-01-20,TG,A,J,0.0,0.0
TG_A_J_20190121,2019-01-21,TG,A,J,26366.0,2144.0
TG_A_J_20190122,2019-01-22,TG,A,J,27582.0,2067.0
TG_A_J_20190123,2019-01-23,TG,A,J,23029.0,2149.0
TG_A_J_20190124,2019-01-24,TG,A,J,27157.0,2148.0
TG_A_J_20190125,2019-01-25,TG,A,J,32280.0,2513.0
TG_A_J_20190126,2019-01-26,TG,A,J,22324.0,2629.0
TG_A_J_20190127,2019-01-27,TG,A,J,0.0,0.0
TG_A_J_20190128,2019-01-28,TG,A,J,26983.0,2932.0
TG_A_J_20190129,2019-01-29,TG,A,J,24969.0,2472.0
TG_A_J_20190130,2019-01-30,TG,A,J,27852.0,2377.0
TG_A_J_20190131,2019-01-31,TG,A,J,15997.0,2278.0
TG_A_J_20190201,2019-02-01,TG,A,J,36010.0,2349.0
TG_A_J_20190202,2019-02-02,TG,A,J,8808.0,2286.0
TG_A_J_20190203,2019-02-03,TG,A,J,0.0,0.0
TG_A_J_20190204,2019-02-04,TG,A,J,8468.0,1831.0
TG_A_J_20190205,2019-02-05,TG,A,J,0.0,0.0
TG_A_J_20190206,2019-02-06,TG,A,J,0.0,0.0
TG_A_J_20190207,2019-02-07,TG,A,J,0.0,0.0
