,0
0,90.0
1,90.0
2,86.66666666666667
3,90.0
4,73.33333333333333
5,73.33333333333333
6,83.33333333333334
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,70.0
12,43.333333333333336
13,76.66666666666667
14,90.0
15,100.0
16,90.0
17,93.33333333333333
18,93.33333333333333
19,93.33333333333333
20,86.66666666666667
21,83.33333333333334
22,90.0
23,100.0
24,100.0
25,93.33333333333333
26,93.33333333333333
27,100.0
28,80.0
29,90.0
30,80.0
31,73.33333333333333
32,93.33333333333333
33,93.33333333333333
34,90.0
35,96.66666666666667
36,100.0
37,70.0
38,66.66666666666666
39,80.0
40,100.0
41,66.66666666666666
42,70.0
43,96.66666666666667
