,0
0,66.66666666666666
1,76.66666666666667
2,80.0
3,53.333333333333336
4,50.0
5,33.33333333333333
6,56.666666666666664
7,70.0
8,76.66666666666667
9,83.33333333333334
10,53.333333333333336
11,56.666666666666664
12,40.0
13,43.333333333333336
14,60.0
15,93.33333333333333
16,66.66666666666666
17,56.666666666666664
18,66.66666666666666
19,33.33333333333333
20,70.0
21,56.666666666666664
22,86.66666666666667
23,63.33333333333333
24,86.66666666666667
25,76.66666666666667
26,40.0
27,96.66666666666667
28,53.333333333333336
29,76.66666666666667
30,66.66666666666666
31,33.33333333333333
32,93.33333333333333
33,76.66666666666667
34,70.0
35,73.33333333333333
36,70.0
37,53.333333333333336
38,23.333333333333332
39,63.33333333333333
40,70.0
41,30.0
42,33.33333333333333
43,63.33333333333333
