,0
0,0.99
1,0.97
2,0.97
3,0.96
4,0.97
5,0.955
6,0.965
7,0.995
8,0.995
9,0.985
10,0.99
11,0.965
12,0.955
13,1.0
14,0.985
15,0.99
16,0.965
17,0.975
18,0.985
19,0.975
20,0.965
21,0.99
22,0.98
23,0.96
24,0.995
25,0.98
26,0.96
27,0.985
28,0.97
29,0.99
30,0.9333333333333333
31,0.9433333333333334
32,0.9566666666666667
33,0.99
34,0.9866666666666667
35,0.9866666666666667
36,1.0
37,0.9333333333333333
38,0.9833333333333333
39,0.9866666666666667
40,0.97
41,0.9833333333333333
42,0.9666666666666667
43,0.9966666666666667
