,0
0,0.938888889
1,0.944444444
2,0.9
3,1
4,0.916666667
5,1
6,0.85
7,0.966666667
8,0.75
9,0.911111111
10,0.994444444
11,0.833333333
12,0.533333333
13,0.927777778
14,0.944444444
15,0.777777778
16,0.666666667
17,0.855555556
18,0.6
19,0.7
20,0.883333333
21,1
22,0.988888889
23,1
24,0.672222222
25,0.761111111
26,0.744444444
27,1
28,0.705555556
29,0.766666667
30,0.825925926
31,0.903703704
32,0.218518519
33,0.696296296
34,0.707407407
35,1
36,0.403703704
37,0.874074074
38,0.985185185
39,0.655555556
40,0.196296296
41,0.948148148
42,0.859259259
43,0.555555556
