,0
0,60.0
1,83.33333333333334
2,50.0
3,80.0
4,46.666666666666664
5,63.33333333333333
6,76.66666666666667
7,80.0
8,83.33333333333334
9,73.33333333333333
10,73.33333333333333
11,60.0
12,33.33333333333333
13,60.0
14,76.66666666666667
15,90.0
16,73.33333333333333
17,80.0
18,83.33333333333334
19,53.333333333333336
20,80.0
21,73.33333333333333
22,83.33333333333334
23,90.0
24,90.0
25,66.66666666666666
26,66.66666666666666
27,93.33333333333333
28,70.0
29,80.0
30,66.66666666666666
31,46.666666666666664
32,73.33333333333333
33,60.0
34,76.66666666666667
35,73.33333333333333
36,86.66666666666667
37,50.0
38,46.666666666666664
39,70.0
40,83.33333333333334
41,43.333333333333336
42,56.666666666666664
43,86.66666666666667
