,0
0,93.33333333333333
1,93.33333333333333
2,86.66666666666667
3,83.33333333333334
4,83.33333333333334
5,66.66666666666666
6,90.0
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,70.0
12,46.666666666666664
13,80.0
14,96.66666666666667
15,96.66666666666667
16,90.0
17,96.66666666666667
18,90.0
19,93.33333333333333
20,86.66666666666667
21,86.66666666666667
22,90.0
23,100.0
24,100.0
25,86.66666666666667
26,93.33333333333333
27,100.0
28,76.66666666666667
29,93.33333333333333
30,80.0
31,70.0
32,93.33333333333333
33,96.66666666666667
34,90.0
35,96.66666666666667
36,100.0
37,73.33333333333333
38,63.33333333333333
39,83.33333333333334
40,100.0
41,70.0
42,66.66666666666666
43,96.66666666666667
