,0
0,93.33333333333333
1,93.33333333333333
2,83.33333333333334
3,83.33333333333334
4,80.0
5,76.66666666666667
6,83.33333333333334
7,86.66666666666667
8,96.66666666666667
9,90.0
10,96.66666666666667
11,66.66666666666666
12,50.0
13,73.33333333333333
14,100.0
15,96.66666666666667
16,80.0
17,90.0
18,93.33333333333333
19,83.33333333333334
20,93.33333333333333
21,90.0
22,86.66666666666667
23,96.66666666666667
24,96.66666666666667
25,93.33333333333333
26,83.33333333333334
27,100.0
28,83.33333333333334
29,90.0
30,83.33333333333334
31,73.33333333333333
32,90.0
33,100.0
34,90.0
35,96.66666666666667
36,100.0
37,73.33333333333333
38,56.666666666666664
39,80.0
40,96.66666666666667
41,73.33333333333333
42,70.0
43,90.0
