,0
0,0.9933333333333333
1,0.9933333333333333
2,0.9633333333333334
3,1.0
4,0.96
5,0.9866666666666667
6,0.9966666666666667
7,0.9933333333333333
8,0.9933333333333333
9,0.99
10,0.9866666666666667
11,0.97
12,0.9766666666666667
13,0.99
14,0.9933333333333333
15,0.99
16,0.9666666666666667
17,0.9866666666666667
18,1.0
19,1.0
20,0.9933333333333333
21,0.99
22,0.9966666666666667
23,1.0
24,1.0
25,0.9933333333333333
26,0.9566666666666667
27,0.9966666666666667
28,0.9766666666666667
29,0.9966666666666667
30,0.998
31,0.988
32,0.998
33,0.998
34,0.998
35,0.992
36,1.0
37,0.99
38,0.996
39,1.0
40,1.0
41,0.99
42,0.992
43,1.0
