,0
0,86.66666666666667
1,100.0
2,83.33333333333334
3,86.66666666666667
4,83.33333333333334
5,76.66666666666667
6,90.0
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,93.33333333333333
11,73.33333333333333
12,53.333333333333336
13,76.66666666666667
14,93.33333333333333
15,96.66666666666667
16,90.0
17,96.66666666666667
18,86.66666666666667
19,86.66666666666667
20,90.0
21,90.0
22,90.0
23,96.66666666666667
24,100.0
25,96.66666666666667
26,80.0
27,93.33333333333333
28,80.0
29,90.0
30,86.66666666666667
31,63.33333333333333
32,96.66666666666667
33,100.0
34,93.33333333333333
35,90.0
36,100.0
37,70.0
38,63.33333333333333
39,80.0
40,93.33333333333333
41,60.0
42,70.0
43,96.66666666666667
