,0
0,93.33333333333333
1,100.0
2,76.66666666666667
3,80.0
4,86.66666666666667
5,76.66666666666667
6,90.0
7,86.66666666666667
8,93.33333333333333
9,93.33333333333333
10,96.66666666666667
11,73.33333333333333
12,50.0
13,76.66666666666667
14,96.66666666666667
15,96.66666666666667
16,93.33333333333333
17,90.0
18,90.0
19,90.0
20,93.33333333333333
21,90.0
22,86.66666666666667
23,100.0
24,100.0
25,90.0
26,86.66666666666667
27,100.0
28,76.66666666666667
29,90.0
30,80.0
31,66.66666666666666
32,96.66666666666667
33,96.66666666666667
34,93.33333333333333
35,93.33333333333333
36,100.0
37,66.66666666666666
38,56.666666666666664
39,80.0
40,100.0
41,80.0
42,73.33333333333333
43,96.66666666666667
