,0
0,90.0
1,100.0
2,86.66666666666667
3,90.0
4,86.66666666666667
5,76.66666666666667
6,80.0
7,80.0
8,96.66666666666667
9,93.33333333333333
10,100.0
11,73.33333333333333
12,36.666666666666664
13,83.33333333333334
14,96.66666666666667
15,100.0
16,93.33333333333333
17,96.66666666666667
18,90.0
19,86.66666666666667
20,90.0
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,86.66666666666667
26,86.66666666666667
27,100.0
28,80.0
29,93.33333333333333
30,76.66666666666667
31,63.33333333333333
32,96.66666666666667
33,96.66666666666667
34,96.66666666666667
35,96.66666666666667
36,100.0
37,66.66666666666666
38,66.66666666666666
39,80.0
40,96.66666666666667
41,56.666666666666664
42,76.66666666666667
43,96.66666666666667
