,0
0,90.0
1,100.0
2,83.33333333333334
3,90.0
4,86.66666666666667
5,80.0
6,90.0
7,83.33333333333334
8,96.66666666666667
9,93.33333333333333
10,90.0
11,73.33333333333333
12,50.0
13,76.66666666666667
14,100.0
15,100.0
16,86.66666666666667
17,93.33333333333333
18,93.33333333333333
19,86.66666666666667
20,93.33333333333333
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,86.66666666666667
26,96.66666666666667
27,100.0
28,80.0
29,93.33333333333333
30,83.33333333333334
31,66.66666666666666
32,93.33333333333333
33,96.66666666666667
34,96.66666666666667
35,96.66666666666667
36,100.0
37,66.66666666666666
38,66.66666666666666
39,83.33333333333334
40,100.0
41,80.0
42,70.0
43,96.66666666666667
