,0
0,70.0
1,93.33333333333333
2,86.66666666666667
3,93.33333333333333
4,83.33333333333334
5,63.33333333333333
6,93.33333333333333
7,83.33333333333334
8,100.0
9,86.66666666666667
10,90.0
11,63.33333333333333
12,53.333333333333336
13,66.66666666666666
14,93.33333333333333
15,96.66666666666667
16,90.0
17,90.0
18,96.66666666666667
19,83.33333333333334
20,80.0
21,86.66666666666667
22,90.0
23,100.0
24,96.66666666666667
25,90.0
26,90.0
27,100.0
28,83.33333333333334
29,90.0
30,80.0
31,60.0
32,96.66666666666667
33,100.0
34,100.0
35,90.0
36,100.0
37,56.666666666666664
38,66.66666666666666
39,80.0
40,100.0
41,96.66666666666667
42,70.0
43,90.0
