,0
0,90.0
1,93.33333333333333
2,83.33333333333334
3,86.66666666666667
4,86.66666666666667
5,90.0
6,90.0
7,86.66666666666667
8,96.66666666666667
9,83.33333333333334
10,96.66666666666667
11,66.66666666666666
12,40.0
13,66.66666666666666
14,96.66666666666667
15,96.66666666666667
16,93.33333333333333
17,93.33333333333333
18,93.33333333333333
19,83.33333333333334
20,80.0
21,90.0
22,86.66666666666667
23,100.0
24,100.0
25,90.0
26,96.66666666666667
27,100.0
28,86.66666666666667
29,96.66666666666667
30,83.33333333333334
31,63.33333333333333
32,93.33333333333333
33,90.0
34,96.66666666666667
35,96.66666666666667
36,100.0
37,70.0
38,70.0
39,86.66666666666667
40,96.66666666666667
41,70.0
42,56.666666666666664
43,96.66666666666667
