,0
0,13.333333333333334
1,43.333333333333336
2,26.666666666666668
3,33.33333333333333
4,30.0
5,16.666666666666664
6,23.333333333333332
7,23.333333333333332
8,30.0
9,40.0
10,33.33333333333333
11,36.666666666666664
12,26.666666666666668
13,30.0
14,40.0
15,53.333333333333336
16,50.0
17,33.33333333333333
18,23.333333333333332
19,50.0
20,36.666666666666664
21,40.0
22,33.33333333333333
23,30.0
24,40.0
25,33.33333333333333
26,40.0
27,40.0
28,53.333333333333336
29,26.666666666666668
30,56.666666666666664
31,26.666666666666668
32,43.333333333333336
33,16.666666666666664
34,46.666666666666664
35,30.0
36,20.0
37,20.0
38,20.0
39,26.666666666666668
40,36.666666666666664
41,26.666666666666668
42,16.666666666666664
43,20.0
