,0
0,40.0
1,40.0
2,20.0
3,33.33333333333333
4,40.0
5,30.0
6,26.666666666666668
7,26.666666666666668
8,30.0
9,23.333333333333332
10,26.666666666666668
11,20.0
12,20.0
13,23.333333333333332
14,26.666666666666668
15,36.666666666666664
16,23.333333333333332
17,30.0
18,23.333333333333332
19,33.33333333333333
20,23.333333333333332
21,33.33333333333333
22,20.0
23,23.333333333333332
24,26.666666666666668
25,23.333333333333332
26,20.0
27,20.0
28,16.666666666666664
29,26.666666666666668
30,16.666666666666664
31,16.666666666666664
32,10.0
33,23.333333333333332
34,16.666666666666664
35,13.333333333333334
36,20.0
37,30.0
38,20.0
39,13.333333333333334
40,30.0
41,13.333333333333334
42,30.0
43,40.0
