,0
0,0.6233333333333333
1,0.79
2,0.67
3,0.6766666666666666
4,0.65
5,0.6233333333333333
6,0.7
7,0.7166666666666667
8,0.77
9,0.8033333333333333
10,0.72
11,0.5233333333333333
12,0.5933333333333334
13,0.6633333333333333
14,0.7066666666666667
15,0.7933333333333333
16,0.5966666666666667
17,0.65
18,0.7133333333333334
19,0.6733333333333333
20,0.7166666666666667
21,0.66
22,0.72
23,0.7333333333333333
24,0.81
25,0.78
26,0.6366666666666667
27,0.8466666666666667
28,0.6033333333333334
29,0.7833333333333333
30,0.72
31,0.624
32,0.726
33,0.772
34,0.814
35,0.814
36,0.8
37,0.616
38,0.836
39,0.84
40,0.81
41,0.688
42,0.638
43,0.826
