,0
0,0.6333333333333333
1,0.7966666666666666
2,0.6533333333333333
3,0.6366666666666667
4,0.5933333333333334
5,0.6033333333333334
6,0.7566666666666667
7,0.7466666666666667
8,0.7133333333333334
9,0.7933333333333333
10,0.7433333333333333
11,0.56
12,0.5766666666666667
13,0.68
14,0.6733333333333333
15,0.8333333333333334
16,0.6566666666666666
17,0.7066666666666667
18,0.7566666666666667
19,0.5933333333333334
20,0.65
21,0.6966666666666667
22,0.69
23,0.7466666666666667
24,0.8166666666666667
25,0.7633333333333333
26,0.6366666666666667
27,0.8166666666666667
28,0.5666666666666667
29,0.7433333333333333
30,0.786
31,0.582
32,0.746
33,0.702
34,0.822
35,0.784
36,0.814
37,0.626
38,0.76
39,0.848
40,0.796
41,0.686
42,0.622
43,0.778
