,0
0,0.6633333333333333
1,0.84
2,0.6833333333333333
3,0.7133333333333334
4,0.6233333333333333
5,0.61
6,0.7333333333333333
7,0.75
8,0.7366666666666667
9,0.8266666666666667
10,0.6833333333333333
11,0.5433333333333333
12,0.58
13,0.69
14,0.72
15,0.86
16,0.6833333333333333
17,0.6733333333333333
18,0.75
19,0.66
20,0.7333333333333333
21,0.7033333333333334
22,0.72
23,0.7433333333333333
24,0.87
25,0.7733333333333333
26,0.7
27,0.8566666666666667
28,0.6933333333333334
29,0.8
30,0.782
31,0.61
32,0.704
33,0.728
34,0.824
35,0.822
36,0.9
37,0.616
38,0.798
39,0.84
40,0.836
41,0.726
42,0.634
43,0.812
