,0
0,70.0
1,93.33333333333333
2,63.33333333333333
3,93.33333333333333
4,73.33333333333333
5,60.0
6,83.33333333333334
7,73.33333333333333
8,96.66666666666667
9,86.66666666666667
10,90.0
11,56.666666666666664
12,60.0
13,66.66666666666666
14,90.0
15,96.66666666666667
16,83.33333333333334
17,93.33333333333333
18,83.33333333333334
19,80.0
20,76.66666666666667
21,80.0
22,83.33333333333334
23,93.33333333333333
24,90.0
25,86.66666666666667
26,80.0
27,100.0
28,80.0
29,90.0
30,80.0
31,63.33333333333333
32,80.0
33,80.0
34,80.0
35,93.33333333333333
36,96.66666666666667
37,53.333333333333336
38,53.333333333333336
39,73.33333333333333
40,86.66666666666667
41,53.333333333333336
42,60.0
43,96.66666666666667
