,0
0,73.33333333333333
1,93.33333333333333
2,80.0
3,80.0
4,73.33333333333333
5,63.33333333333333
6,83.33333333333334
7,73.33333333333333
8,96.66666666666667
9,86.66666666666667
10,86.66666666666667
11,60.0
12,30.0
13,63.33333333333333
14,83.33333333333334
15,93.33333333333333
16,83.33333333333334
17,93.33333333333333
18,83.33333333333334
19,76.66666666666667
20,73.33333333333333
21,80.0
22,90.0
23,80.0
24,86.66666666666667
25,83.33333333333334
26,73.33333333333333
27,100.0
28,76.66666666666667
29,90.0
30,80.0
31,60.0
32,93.33333333333333
33,76.66666666666667
34,80.0
35,86.66666666666667
36,100.0
37,66.66666666666666
38,60.0
39,76.66666666666667
40,100.0
41,63.33333333333333
42,56.666666666666664
43,90.0
