,0
0,90.0
1,93.33333333333333
2,70.0
3,83.33333333333334
4,76.66666666666667
5,66.66666666666666
6,83.33333333333334
7,83.33333333333334
8,96.66666666666667
9,86.66666666666667
10,90.0
11,60.0
12,40.0
13,66.66666666666666
14,96.66666666666667
15,86.66666666666667
16,70.0
17,90.0
18,90.0
19,86.66666666666667
20,80.0
21,93.33333333333333
22,86.66666666666667
23,100.0
24,96.66666666666667
25,86.66666666666667
26,76.66666666666667
27,100.0
28,76.66666666666667
29,90.0
30,86.66666666666667
31,70.0
32,86.66666666666667
33,90.0
34,96.66666666666667
35,90.0
36,100.0
37,66.66666666666666
38,56.666666666666664
39,76.66666666666667
40,93.33333333333333
41,63.33333333333333
42,60.0
43,93.33333333333333
