,0
0,1.0
1,1.0
2,0.9888888888888889
3,1.0
4,1.0
5,0.9888888888888889
6,0.9888888888888889
7,1.0
8,1.0
9,0.9888888888888889
10,0.9888888888888889
11,0.9777777777777777
12,0.9888888888888889
13,0.6666666666666666
14,1.0
15,1.0
16,1.0
17,0.9888888888888889
18,0.6111111111111112
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,0.9777777777777777
27,1.0
28,0.9777777777777777
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,0.9333333333333333
35,1.0
36,0.9888888888888889
37,1.0
38,0.9888888888888889
39,0.9555555555555556
40,1.0
41,1.0
42,1.0
43,1.0
