,0
0,70.0
1,96.66666666666667
2,70.0
3,80.0
4,73.33333333333333
5,60.0
6,70.0
7,76.66666666666667
8,93.33333333333333
9,90.0
10,80.0
11,73.33333333333333
12,46.666666666666664
13,73.33333333333333
14,93.33333333333333
15,96.66666666666667
16,80.0
17,80.0
18,93.33333333333333
19,86.66666666666667
20,80.0
21,90.0
22,90.0
23,96.66666666666667
24,93.33333333333333
25,83.33333333333334
26,83.33333333333334
27,100.0
28,83.33333333333334
29,90.0
30,93.33333333333333
31,70.0
32,93.33333333333333
33,93.33333333333333
34,83.33333333333334
35,96.66666666666667
36,90.0
37,63.33333333333333
38,73.33333333333333
39,76.66666666666667
40,96.66666666666667
41,70.0
42,50.0
43,86.66666666666667
