,0
0,83.33333333333334
1,93.33333333333333
2,73.33333333333333
3,83.33333333333334
4,76.66666666666667
5,73.33333333333333
6,86.66666666666667
7,86.66666666666667
8,96.66666666666667
9,90.0
10,100.0
11,60.0
12,46.666666666666664
13,66.66666666666666
14,90.0
15,86.66666666666667
16,73.33333333333333
17,86.66666666666667
18,86.66666666666667
19,83.33333333333334
20,86.66666666666667
21,93.33333333333333
22,86.66666666666667
23,100.0
24,96.66666666666667
25,90.0
26,83.33333333333334
27,100.0
28,86.66666666666667
29,93.33333333333333
30,76.66666666666667
31,63.33333333333333
32,93.33333333333333
33,96.66666666666667
34,86.66666666666667
35,96.66666666666667
36,100.0
37,70.0
38,46.666666666666664
39,76.66666666666667
40,96.66666666666667
41,60.0
42,70.0
43,93.33333333333333
