,0
0,96.66666666666667
1,96.66666666666667
2,76.66666666666667
3,86.66666666666667
4,80.0
5,76.66666666666667
6,83.33333333333334
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,90.0
11,63.33333333333333
12,43.333333333333336
13,70.0
14,96.66666666666667
15,96.66666666666667
16,86.66666666666667
17,86.66666666666667
18,93.33333333333333
19,83.33333333333334
20,93.33333333333333
21,90.0
22,90.0
23,100.0
24,100.0
25,96.66666666666667
26,80.0
27,100.0
28,80.0
29,90.0
30,90.0
31,63.33333333333333
32,96.66666666666667
33,100.0
34,93.33333333333333
35,93.33333333333333
36,96.66666666666667
37,73.33333333333333
38,63.33333333333333
39,80.0
40,100.0
41,70.0
42,86.66666666666667
43,96.66666666666667
