,0
0,93.33333333333333
1,96.66666666666667
2,80.0
3,90.0
4,83.33333333333334
5,76.66666666666667
6,83.33333333333334
7,83.33333333333334
8,93.33333333333333
9,93.33333333333333
10,96.66666666666667
11,60.0
12,40.0
13,73.33333333333333
14,96.66666666666667
15,100.0
16,90.0
17,90.0
18,93.33333333333333
19,80.0
20,80.0
21,83.33333333333334
22,90.0
23,100.0
24,93.33333333333333
25,93.33333333333333
26,76.66666666666667
27,100.0
28,76.66666666666667
29,93.33333333333333
30,83.33333333333334
31,70.0
32,96.66666666666667
33,96.66666666666667
34,90.0
35,96.66666666666667
36,100.0
37,66.66666666666666
38,66.66666666666666
39,83.33333333333334
40,100.0
41,63.33333333333333
42,66.66666666666666
43,96.66666666666667
