,0
0,0.9958333333333333
1,0.9916666666666667
2,0.9916666666666667
3,0.9916666666666667
4,0.9666666666666667
5,0.9958333333333333
6,0.9916666666666667
7,0.9958333333333333
8,0.9916666666666667
9,0.9916666666666667
10,0.9958333333333333
11,0.9791666666666666
12,0.9833333333333333
13,0.9958333333333333
14,0.9916666666666667
15,1.0
16,0.9875
17,0.9958333333333333
18,1.0
19,1.0
20,1.0
21,0.9958333333333333
22,1.0
23,1.0
24,0.9958333333333333
25,0.9958333333333333
26,0.9875
27,0.9875
28,0.9791666666666666
29,1.0
30,0.995
31,0.9975
32,1.0
33,1.0
34,1.0
35,0.9975
36,1.0
37,0.995
38,0.9975
39,1.0
40,1.0
41,0.9925
42,0.9975
43,1.0
