Iraq	30399572 	168753 
Morocco	31968361 	172413 
Canada	34030589 	3855081 
Uganda	34612250 	91135 
Algeria	34994937 	919590 
Poland	38441588 	120728 
Kenya	41070934 	224961 
Argentina	41769726 	1068296 
Tanzania	42746620 	364898 
Colombia	44725543 	439733 
Sudan	45047502 	728215 
Ukraine	45134707 	233089 
Spain	46754784 	194896 
"Korea, South"	48754657 	38023 
South Africa	49004031 	471008 
Myanmar (Burma)	53999804 	261969 
Italy	61016804 	116305 
United Kingdom	62698362 	94525 
France	65312249 	211208 
Thailand	66720153 	198455 
Iran	77891220 	636293 
Turkey	78785548 	301382 
Germany	81471834 	137846 
Egypt	82079636 	386660 
Vietnam	90549390 	127243 
