,0
0,16.666666666666664
1,40.0
2,33.33333333333333
3,30.0
4,40.0
5,16.666666666666664
6,20.0
7,26.666666666666668
8,26.666666666666668
9,30.0
10,50.0
11,23.333333333333332
12,30.0
13,30.0
14,26.666666666666668
15,23.333333333333332
16,20.0
17,16.666666666666664
18,26.666666666666668
19,33.33333333333333
20,23.333333333333332
21,30.0
22,40.0
23,13.333333333333334
24,20.0
25,30.0
26,23.333333333333332
27,33.33333333333333
28,40.0
29,30.0
30,13.333333333333334
31,30.0
32,10.0
33,10.0
34,40.0
35,26.666666666666668
36,26.666666666666668
37,16.666666666666664
38,23.333333333333332
39,6.666666666666667
40,40.0
41,23.333333333333332
42,6.666666666666667
43,23.333333333333332
