,0
0,93.33333333333333
1,90.0
2,70.0
3,70.0
4,83.33333333333334
5,73.33333333333333
6,76.66666666666667
7,86.66666666666667
8,93.33333333333333
9,96.66666666666667
10,83.33333333333334
11,66.66666666666666
12,40.0
13,73.33333333333333
14,93.33333333333333
15,96.66666666666667
16,80.0
17,93.33333333333333
18,83.33333333333334
19,76.66666666666667
20,83.33333333333334
21,86.66666666666667
22,86.66666666666667
23,93.33333333333333
24,93.33333333333333
25,96.66666666666667
26,73.33333333333333
27,100.0
28,93.33333333333333
29,90.0
30,80.0
31,60.0
32,93.33333333333333
33,100.0
34,80.0
35,76.66666666666667
36,100.0
37,66.66666666666666
38,63.33333333333333
39,70.0
40,100.0
41,53.333333333333336
42,73.33333333333333
43,93.33333333333333
