,0
0,83.33333333333334
1,93.33333333333333
2,50.0
3,83.33333333333334
4,73.33333333333333
5,60.0
6,90.0
7,86.66666666666667
8,96.66666666666667
9,90.0
10,96.66666666666667
11,60.0
12,50.0
13,70.0
14,86.66666666666667
15,86.66666666666667
16,66.66666666666666
17,90.0
18,83.33333333333334
19,90.0
20,90.0
21,83.33333333333334
22,86.66666666666667
23,96.66666666666667
24,93.33333333333333
25,86.66666666666667
26,83.33333333333334
27,100.0
28,90.0
29,96.66666666666667
30,70.0
31,60.0
32,90.0
33,90.0
34,83.33333333333334
35,90.0
36,100.0
37,43.333333333333336
38,70.0
39,80.0
40,90.0
41,60.0
42,73.33333333333333
43,63.33333333333333
