,0
0,80.0
1,90.0
2,83.33333333333334
3,86.66666666666667
4,83.33333333333334
5,63.33333333333333
6,86.66666666666667
7,80.0
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,70.0
12,43.333333333333336
13,73.33333333333333
14,93.33333333333333
15,100.0
16,83.33333333333334
17,93.33333333333333
18,90.0
19,90.0
20,83.33333333333334
21,86.66666666666667
22,90.0
23,100.0
24,100.0
25,90.0
26,86.66666666666667
27,100.0
28,86.66666666666667
29,90.0
30,80.0
31,73.33333333333333
32,96.66666666666667
33,96.66666666666667
34,90.0
35,96.66666666666667
36,100.0
37,73.33333333333333
38,63.33333333333333
39,80.0
40,100.0
41,66.66666666666666
42,70.0
43,96.66666666666667
