,0
0,0.9933333333333333
1,0.9966666666666667
2,0.9866666666666667
3,0.9933333333333333
4,0.9666666666666667
5,0.9933333333333333
6,0.9966666666666667
7,0.99
8,0.9933333333333333
9,0.9933333333333333
10,0.99
11,0.98
12,0.9833333333333333
13,0.9966666666666667
14,0.9966666666666667
15,1.0
16,0.9833333333333333
17,0.9933333333333333
18,1.0
19,0.9966666666666667
20,1.0
21,0.9966666666666667
22,0.9933333333333333
23,1.0
24,1.0
25,1.0
26,0.9866666666666667
27,0.9833333333333333
28,0.9833333333333333
29,0.9966666666666667
30,0.998
31,0.992
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,0.998
38,1.0
39,1.0
40,1.0
41,0.994
42,0.996
43,1.0
