,0
0,86.66666666666667
1,96.66666666666667
2,83.33333333333334
3,76.66666666666667
4,83.33333333333334
5,70.0
6,80.0
7,86.66666666666667
8,93.33333333333333
9,93.33333333333333
10,93.33333333333333
11,60.0
12,40.0
13,53.333333333333336
14,90.0
15,96.66666666666667
16,90.0
17,93.33333333333333
18,90.0
19,76.66666666666667
20,76.66666666666667
21,83.33333333333334
22,86.66666666666667
23,83.33333333333334
24,93.33333333333333
25,86.66666666666667
26,80.0
27,100.0
28,76.66666666666667
29,93.33333333333333
30,90.0
31,66.66666666666666
32,96.66666666666667
33,96.66666666666667
34,93.33333333333333
35,93.33333333333333
36,100.0
37,66.66666666666666
38,60.0
39,83.33333333333334
40,96.66666666666667
41,73.33333333333333
42,76.66666666666667
43,90.0
