,0
0,0.945
1,0.99
2,0.985
3,0.98
4,0.92
5,0.99
6,0.945
7,0.98
8,0.98
9,0.97
10,0.975
11,0.95
12,0.975
13,0.995
14,0.955
15,0.99
16,0.955
17,0.995
18,1.0
19,0.985
20,0.975
21,0.99
22,0.995
23,1.0
24,0.995
25,0.97
26,0.965
27,0.995
28,0.97
29,0.985
30,0.9966666666666667
31,0.9133333333333333
32,0.9566666666666667
33,0.9766666666666667
34,0.9866666666666667
35,0.9933333333333333
36,1.0
37,0.99
38,0.9966666666666667
39,0.9933333333333333
40,0.9966666666666667
41,0.97
42,0.9833333333333333
43,0.9966666666666667
