,0
0,86.66666666666667
1,96.66666666666667
2,80.0
3,80.0
4,80.0
5,80.0
6,86.66666666666667
7,86.66666666666667
8,96.66666666666667
9,90.0
10,100.0
11,70.0
12,46.666666666666664
13,70.0
14,93.33333333333333
15,100.0
16,86.66666666666667
17,93.33333333333333
18,90.0
19,90.0
20,90.0
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,96.66666666666667
26,93.33333333333333
27,100.0
28,80.0
29,80.0
30,83.33333333333334
31,66.66666666666666
32,93.33333333333333
33,93.33333333333333
34,96.66666666666667
35,93.33333333333333
36,100.0
37,73.33333333333333
38,66.66666666666666
39,83.33333333333334
40,100.0
41,63.33333333333333
42,80.0
43,96.66666666666667
