,0
0,96.66666666666667
1,93.33333333333333
2,76.66666666666667
3,80.0
4,86.66666666666667
5,73.33333333333333
6,90.0
7,86.66666666666667
8,96.66666666666667
9,90.0
10,100.0
11,63.33333333333333
12,40.0
13,70.0
14,100.0
15,100.0
16,86.66666666666667
17,96.66666666666667
18,90.0
19,86.66666666666667
20,93.33333333333333
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,93.33333333333333
26,86.66666666666667
27,100.0
28,83.33333333333334
29,93.33333333333333
30,86.66666666666667
31,63.33333333333333
32,96.66666666666667
33,100.0
34,90.0
35,90.0
36,100.0
37,70.0
38,56.666666666666664
39,83.33333333333334
40,100.0
41,80.0
42,80.0
43,96.66666666666667
