,0
0,36.666666666666664
1,43.333333333333336
2,53.333333333333336
3,20.0
4,33.33333333333333
5,6.666666666666667
6,23.333333333333332
7,20.0
8,46.666666666666664
9,50.0
10,26.666666666666668
11,33.33333333333333
12,30.0
13,40.0
14,36.666666666666664
15,56.666666666666664
16,36.666666666666664
17,40.0
18,26.666666666666668
19,40.0
20,30.0
21,30.0
22,40.0
23,40.0
24,40.0
25,30.0
26,60.0
27,53.333333333333336
28,33.33333333333333
29,23.333333333333332
30,56.666666666666664
31,20.0
32,63.33333333333333
33,33.33333333333333
34,53.333333333333336
35,30.0
36,60.0
37,43.333333333333336
38,20.0
39,36.666666666666664
40,73.33333333333333
41,23.333333333333332
42,20.0
43,46.666666666666664
