,0
0,100.0
1,96.66666666666667
2,76.66666666666667
3,80.0
4,96.66666666666667
5,73.33333333333333
6,96.66666666666667
7,100.0
8,96.66666666666667
9,46.666666666666664
10,100.0
11,86.66666666666667
12,100.0
13,80.0
14,73.33333333333333
15,100.0
16,93.33333333333333
17,90.0
18,100.0
19,100.0
20,60.0
21,100.0
22,96.66666666666667
23,60.0
24,96.66666666666667
25,53.333333333333336
26,86.66666666666667
27,43.333333333333336
28,96.66666666666667
29,73.33333333333333
30,80.0
31,93.33333333333333
32,60.0
33,86.66666666666667
34,76.66666666666667
35,70.0
36,86.66666666666667
37,80.0
38,93.33333333333333
39,93.33333333333333
40,80.0
41,66.66666666666666
42,46.666666666666664
43,53.333333333333336
44,86.66666666666667
45,100.0
46,83.33333333333334
47,93.33333333333333
48,66.66666666666666
49,90.0
50,66.66666666666666
51,83.33333333333334
52,86.66666666666667
53,96.66666666666667
54,96.66666666666667
55,80.0
56,56.666666666666664
57,100.0
58,96.66666666666667
59,80.0
