,0
0,90.0
1,90.0
2,86.66666666666667
3,86.66666666666667
4,80.0
5,76.66666666666667
6,86.66666666666667
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,70.0
12,46.666666666666664
13,80.0
14,93.33333333333333
15,100.0
16,93.33333333333333
17,93.33333333333333
18,93.33333333333333
19,93.33333333333333
20,86.66666666666667
21,86.66666666666667
22,90.0
23,100.0
24,100.0
25,93.33333333333333
26,90.0
27,100.0
28,86.66666666666667
29,83.33333333333334
30,80.0
31,70.0
32,93.33333333333333
33,100.0
34,90.0
35,96.66666666666667
36,100.0
37,63.33333333333333
38,66.66666666666666
39,80.0
40,100.0
41,80.0
42,73.33333333333333
43,96.66666666666667
