,0
0,90.0
1,93.33333333333333
2,86.66666666666667
3,83.33333333333334
4,90.0
5,73.33333333333333
6,90.0
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,93.33333333333333
11,66.66666666666666
12,53.333333333333336
13,76.66666666666667
14,93.33333333333333
15,100.0
16,80.0
17,90.0
18,90.0
19,80.0
20,86.66666666666667
21,90.0
22,90.0
23,96.66666666666667
24,100.0
25,90.0
26,86.66666666666667
27,100.0
28,83.33333333333334
29,93.33333333333333
30,83.33333333333334
31,70.0
32,93.33333333333333
33,100.0
34,93.33333333333333
35,93.33333333333333
36,100.0
37,70.0
38,70.0
39,83.33333333333334
40,100.0
41,70.0
42,86.66666666666667
43,96.66666666666667
