,0
0,90.0
1,96.66666666666667
2,90.0
3,80.0
4,83.33333333333334
5,83.33333333333334
6,90.0
7,86.66666666666667
8,93.33333333333333
9,93.33333333333333
10,100.0
11,76.66666666666667
12,40.0
13,70.0
14,90.0
15,96.66666666666667
16,93.33333333333333
17,96.66666666666667
18,93.33333333333333
19,90.0
20,93.33333333333333
21,86.66666666666667
22,90.0
23,100.0
24,100.0
25,90.0
26,83.33333333333334
27,100.0
28,80.0
29,80.0
30,80.0
31,60.0
32,96.66666666666667
33,90.0
34,96.66666666666667
35,96.66666666666667
36,100.0
37,60.0
38,63.33333333333333
39,83.33333333333334
40,93.33333333333333
41,63.33333333333333
42,70.0
43,96.66666666666667
