,0
0,90.0
1,100.0
2,83.33333333333334
3,80.0
4,83.33333333333334
5,83.33333333333334
6,86.66666666666667
7,83.33333333333334
8,93.33333333333333
9,93.33333333333333
10,96.66666666666667
11,66.66666666666666
12,43.333333333333336
13,73.33333333333333
14,90.0
15,96.66666666666667
16,93.33333333333333
17,90.0
18,90.0
19,83.33333333333334
20,86.66666666666667
21,90.0
22,90.0
23,100.0
24,100.0
25,90.0
26,86.66666666666667
27,100.0
28,86.66666666666667
29,86.66666666666667
30,83.33333333333334
31,66.66666666666666
32,93.33333333333333
33,96.66666666666667
34,93.33333333333333
35,90.0
36,100.0
37,66.66666666666666
38,63.33333333333333
39,83.33333333333334
40,96.66666666666667
41,66.66666666666666
42,73.33333333333333
43,96.66666666666667
