,0
0,73.33333333333333
1,93.33333333333333
2,86.66666666666667
3,86.66666666666667
4,76.66666666666667
5,60.0
6,83.33333333333334
7,80.0
8,100.0
9,93.33333333333333
10,90.0
11,66.66666666666666
12,46.666666666666664
13,66.66666666666666
14,96.66666666666667
15,100.0
16,83.33333333333334
17,90.0
18,90.0
19,70.0
20,90.0
21,90.0
22,80.0
23,100.0
24,90.0
25,83.33333333333334
26,93.33333333333333
27,100.0
28,90.0
29,90.0
30,86.66666666666667
31,60.0
32,100.0
33,96.66666666666667
34,86.66666666666667
35,80.0
36,100.0
37,73.33333333333333
38,46.666666666666664
39,80.0
40,96.66666666666667
41,96.66666666666667
42,63.33333333333333
43,90.0
