,0
0,96.66666666666667
1,96.66666666666667
2,80.0
3,76.66666666666667
4,86.66666666666667
5,70.0
6,73.33333333333333
7,83.33333333333334
8,96.66666666666667
9,93.33333333333333
10,90.0
11,60.0
12,53.333333333333336
13,70.0
14,96.66666666666667
15,100.0
16,76.66666666666667
17,100.0
18,93.33333333333333
19,80.0
20,80.0
21,93.33333333333333
22,83.33333333333334
23,100.0
24,96.66666666666667
25,90.0
26,93.33333333333333
27,100.0
28,90.0
29,86.66666666666667
30,83.33333333333334
31,66.66666666666666
32,96.66666666666667
33,100.0
34,96.66666666666667
35,93.33333333333333
36,100.0
37,73.33333333333333
38,56.666666666666664
39,80.0
40,96.66666666666667
41,93.33333333333333
42,73.33333333333333
43,96.66666666666667
