,0
0,90.0
1,93.33333333333333
2,83.33333333333334
3,90.0
4,80.0
5,80.0
6,83.33333333333334
7,90.0
8,100.0
9,93.33333333333333
10,96.66666666666667
11,73.33333333333333
12,40.0
13,70.0
14,93.33333333333333
15,96.66666666666667
16,90.0
17,93.33333333333333
18,90.0
19,83.33333333333334
20,86.66666666666667
21,93.33333333333333
22,86.66666666666667
23,100.0
24,96.66666666666667
25,93.33333333333333
26,83.33333333333334
27,100.0
28,83.33333333333334
29,90.0
30,80.0
31,66.66666666666666
32,96.66666666666667
33,90.0
34,96.66666666666667
35,96.66666666666667
36,100.0
37,70.0
38,70.0
39,86.66666666666667
40,96.66666666666667
41,70.0
42,56.666666666666664
43,96.66666666666667
