,0
0,93.33333333333333
1,96.66666666666667
2,80.0
3,83.33333333333334
4,83.33333333333334
5,73.33333333333333
6,93.33333333333333
7,86.66666666666667
8,100.0
9,93.33333333333333
10,90.0
11,76.66666666666667
12,46.666666666666664
13,66.66666666666666
14,93.33333333333333
15,100.0
16,90.0
17,90.0
18,93.33333333333333
19,83.33333333333334
20,83.33333333333334
21,93.33333333333333
22,86.66666666666667
23,100.0
24,96.66666666666667
25,90.0
26,86.66666666666667
27,100.0
28,86.66666666666667
29,86.66666666666667
30,83.33333333333334
31,66.66666666666666
32,96.66666666666667
33,90.0
34,80.0
35,96.66666666666667
36,100.0
37,60.0
38,70.0
39,73.33333333333333
40,100.0
41,70.0
42,60.0
43,96.66666666666667
