,0
0,13.333333333333334
1,46.666666666666664
2,33.33333333333333
3,33.33333333333333
4,40.0
5,10.0
6,23.333333333333332
7,13.333333333333334
8,23.333333333333332
9,30.0
10,23.333333333333332
11,33.33333333333333
12,36.666666666666664
13,20.0
14,36.666666666666664
15,40.0
16,40.0
17,16.666666666666664
18,33.33333333333333
19,53.333333333333336
20,43.333333333333336
21,36.666666666666664
22,33.33333333333333
23,26.666666666666668
24,26.666666666666668
25,33.33333333333333
26,46.666666666666664
27,23.333333333333332
28,53.333333333333336
29,36.666666666666664
30,50.0
31,13.333333333333334
32,40.0
33,16.666666666666664
34,40.0
35,23.333333333333332
36,30.0
37,16.666666666666664
38,26.666666666666668
39,33.33333333333333
40,43.333333333333336
41,20.0
42,23.333333333333332
43,23.333333333333332
