,0
0,13.333333333333334
1,26.666666666666668
2,30.0
3,43.333333333333336
4,43.333333333333336
5,23.333333333333332
6,23.333333333333332
7,30.0
8,26.666666666666668
9,46.666666666666664
10,36.666666666666664
11,33.33333333333333
12,23.333333333333332
13,36.666666666666664
14,50.0
15,60.0
16,30.0
17,20.0
18,36.666666666666664
19,33.33333333333333
20,40.0
21,46.666666666666664
22,23.333333333333332
23,33.33333333333333
24,30.0
25,30.0
26,46.666666666666664
27,40.0
28,70.0
29,26.666666666666668
30,30.0
31,20.0
32,30.0
33,16.666666666666664
34,43.333333333333336
35,30.0
36,13.333333333333334
37,30.0
38,33.33333333333333
39,23.333333333333332
40,26.666666666666668
41,30.0
42,23.333333333333332
43,30.0
