,0
0,60.0
1,76.66666666666667
2,60.0
3,66.66666666666666
4,66.66666666666666
5,70.0
6,73.33333333333333
7,63.33333333333333
8,90.0
9,86.66666666666667
10,86.66666666666667
11,63.33333333333333
12,40.0
13,60.0
14,90.0
15,93.33333333333333
16,50.0
17,73.33333333333333
18,83.33333333333334
19,50.0
20,73.33333333333333
21,66.66666666666666
22,73.33333333333333
23,83.33333333333334
24,86.66666666666667
25,80.0
26,63.33333333333333
27,100.0
28,76.66666666666667
29,80.0
30,73.33333333333333
31,43.333333333333336
32,50.0
33,70.0
34,73.33333333333333
35,70.0
36,73.33333333333333
37,46.666666666666664
38,60.0
39,60.0
40,73.33333333333333
41,40.0
42,63.33333333333333
43,73.33333333333333
