,0
0,80.0
1,100.0
2,76.66666666666667
3,70.0
4,76.66666666666667
5,66.66666666666666
6,90.0
7,80.0
8,93.33333333333333
9,90.0
10,86.66666666666667
11,60.0
12,46.666666666666664
13,66.66666666666666
14,80.0
15,93.33333333333333
16,80.0
17,76.66666666666667
18,93.33333333333333
19,80.0
20,80.0
21,80.0
22,90.0
23,86.66666666666667
24,93.33333333333333
25,83.33333333333334
26,80.0
27,100.0
28,73.33333333333333
29,83.33333333333334
30,80.0
31,70.0
32,90.0
33,83.33333333333334
34,83.33333333333334
35,86.66666666666667
36,96.66666666666667
37,60.0
38,60.0
39,70.0
40,100.0
41,56.666666666666664
42,56.666666666666664
43,93.33333333333333
