,0
0,16.0
1,26.0
2,22.0
3,36.0
4,20.0
5,28.000000000000004
6,22.0
7,22.0
8,28.000000000000004
9,28.000000000000004
10,28.000000000000004
11,22.0
12,10.0
13,26.0
14,16.0
15,28.000000000000004
16,22.0
17,24.0
18,20.0
19,14.000000000000002
20,24.0
21,28.000000000000004
22,10.0
23,28.000000000000004
24,22.0
25,14.000000000000002
26,24.0
27,26.0
28,18.0
29,14.000000000000002
30,28.000000000000004
31,24.0
32,18.0
33,12.0
34,12.0
35,24.0
36,20.0
37,16.0
38,18.0
39,18.0
40,12.0
41,12.0
42,14.000000000000002
43,12.0
