,0
0,90.0
1,93.33333333333333
2,76.66666666666667
3,90.0
4,90.0
5,70.0
6,90.0
7,86.66666666666667
8,96.66666666666667
9,90.0
10,96.66666666666667
11,60.0
12,36.666666666666664
13,83.33333333333334
14,100.0
15,93.33333333333333
16,73.33333333333333
17,96.66666666666667
18,93.33333333333333
19,83.33333333333334
20,86.66666666666667
21,86.66666666666667
22,86.66666666666667
23,100.0
24,100.0
25,93.33333333333333
26,80.0
27,100.0
28,86.66666666666667
29,93.33333333333333
30,86.66666666666667
31,70.0
32,90.0
33,96.66666666666667
34,96.66666666666667
35,86.66666666666667
36,100.0
37,76.66666666666667
38,60.0
39,80.0
40,96.66666666666667
41,80.0
42,73.33333333333333
43,93.33333333333333
