,0
0,93.33333333333333
1,100.0
2,86.66666666666667
3,80.0
4,90.0
5,73.33333333333333
6,86.66666666666667
7,83.33333333333334
8,100.0
9,90.0
10,100.0
11,63.33333333333333
12,50.0
13,66.66666666666666
14,93.33333333333333
15,93.33333333333333
16,80.0
17,90.0
18,90.0
19,80.0
20,90.0
21,83.33333333333334
22,86.66666666666667
23,100.0
24,100.0
25,86.66666666666667
26,80.0
27,100.0
28,86.66666666666667
29,93.33333333333333
30,80.0
31,66.66666666666666
32,90.0
33,96.66666666666667
34,96.66666666666667
35,93.33333333333333
36,100.0
37,70.0
38,60.0
39,86.66666666666667
40,96.66666666666667
41,60.0
42,70.0
43,96.66666666666667
