,0
0,90.0
1,96.66666666666667
2,76.66666666666667
3,86.66666666666667
4,76.66666666666667
5,83.33333333333334
6,90.0
7,83.33333333333334
8,96.66666666666667
9,86.66666666666667
10,93.33333333333333
11,70.0
12,43.333333333333336
13,70.0
14,93.33333333333333
15,100.0
16,90.0
17,90.0
18,93.33333333333333
19,86.66666666666667
20,86.66666666666667
21,90.0
22,90.0
23,100.0
24,100.0
25,96.66666666666667
26,90.0
27,100.0
28,80.0
29,90.0
30,83.33333333333334
31,63.33333333333333
32,96.66666666666667
33,100.0
34,96.66666666666667
35,83.33333333333334
36,100.0
37,63.33333333333333
38,70.0
39,83.33333333333334
40,96.66666666666667
41,66.66666666666666
42,76.66666666666667
43,96.66666666666667
