,0
0,93.33333333333333
1,96.66666666666667
2,86.66666666666667
3,80.0
4,76.66666666666667
5,76.66666666666667
6,90.0
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,96.66666666666667
11,70.0
12,40.0
13,73.33333333333333
14,96.66666666666667
15,100.0
16,90.0
17,96.66666666666667
18,93.33333333333333
19,86.66666666666667
20,86.66666666666667
21,90.0
22,86.66666666666667
23,100.0
24,100.0
25,90.0
26,86.66666666666667
27,100.0
28,83.33333333333334
29,96.66666666666667
30,80.0
31,66.66666666666666
32,96.66666666666667
33,96.66666666666667
34,96.66666666666667
35,93.33333333333333
36,100.0
37,63.33333333333333
38,66.66666666666666
39,80.0
40,93.33333333333333
41,73.33333333333333
42,80.0
43,96.66666666666667
