,0
0,93.33333333333333
1,100.0
2,86.66666666666667
3,80.0
4,86.66666666666667
5,80.0
6,90.0
7,86.66666666666667
8,96.66666666666667
9,93.33333333333333
10,100.0
11,73.33333333333333
12,40.0
13,73.33333333333333
14,93.33333333333333
15,96.66666666666667
16,93.33333333333333
17,100.0
18,90.0
19,86.66666666666667
20,90.0
21,83.33333333333334
22,86.66666666666667
23,100.0
24,96.66666666666667
25,90.0
26,86.66666666666667
27,100.0
28,76.66666666666667
29,90.0
30,83.33333333333334
31,66.66666666666666
32,100.0
33,100.0
34,93.33333333333333
35,96.66666666666667
36,100.0
37,66.66666666666666
38,60.0
39,76.66666666666667
40,100.0
41,73.33333333333333
42,63.33333333333333
43,96.66666666666667
