,0
0,90.0
1,100.0
2,86.66666666666667
3,86.66666666666667
4,86.66666666666667
5,80.0
6,93.33333333333333
7,80.0
8,96.66666666666667
9,93.33333333333333
10,100.0
11,76.66666666666667
12,46.666666666666664
13,73.33333333333333
14,90.0
15,96.66666666666667
16,93.33333333333333
17,96.66666666666667
18,90.0
19,80.0
20,93.33333333333333
21,90.0
22,90.0
23,100.0
24,100.0
25,90.0
26,90.0
27,100.0
28,86.66666666666667
29,90.0
30,83.33333333333334
31,60.0
32,96.66666666666667
33,93.33333333333333
34,90.0
35,93.33333333333333
36,100.0
37,66.66666666666666
38,66.66666666666666
39,80.0
40,100.0
41,56.666666666666664
42,66.66666666666666
43,96.66666666666667
