,0
0,0.99
1,0.9966666666666667
2,0.9733333333333334
3,1.0
4,0.9633333333333334
5,0.9933333333333333
6,0.9933333333333333
7,0.98
8,0.9966666666666667
9,0.98
10,0.9933333333333333
11,0.97
12,0.9733333333333334
13,0.9933333333333333
14,0.9966666666666667
15,1.0
16,0.9566666666666667
17,0.9933333333333333
18,1.0
19,0.9966666666666667
20,1.0
21,0.9866666666666667
22,0.9933333333333333
23,1.0
24,1.0
25,0.99
26,0.9766666666666667
27,0.9966666666666667
28,0.97
29,0.99
30,0.992
31,0.99
32,0.994
33,1.0
34,1.0
35,1.0
36,1.0
37,0.998
38,1.0
39,1.0
40,1.0
41,0.964
42,0.994
43,1.0
