,0
0,83.33333333333334
1,93.33333333333333
2,80.0
3,83.33333333333334
4,80.0
5,70.0
6,83.33333333333334
7,83.33333333333334
8,93.33333333333333
9,93.33333333333333
10,96.66666666666667
11,66.66666666666666
12,43.333333333333336
13,70.0
14,93.33333333333333
15,96.66666666666667
16,90.0
17,93.33333333333333
18,93.33333333333333
19,90.0
20,80.0
21,83.33333333333334
22,90.0
23,100.0
24,96.66666666666667
25,86.66666666666667
26,73.33333333333333
27,100.0
28,80.0
29,90.0
30,80.0
31,63.33333333333333
32,96.66666666666667
33,96.66666666666667
34,83.33333333333334
35,90.0
36,100.0
37,56.666666666666664
38,70.0
39,80.0
40,100.0
41,70.0
42,70.0
43,96.66666666666667
