,0
0,20.0
1,96.66666666666667
2,56.666666666666664
3,26.666666666666668
4,56.666666666666664
5,23.333333333333332
6,50.0
7,50.0
8,96.66666666666667
9,93.33333333333333
10,50.0
11,36.666666666666664
12,33.33333333333333
13,33.33333333333333
14,20.0
15,100.0
16,50.0
17,20.0
18,33.33333333333333
19,23.333333333333332
20,30.0
21,30.0
22,36.666666666666664
23,26.666666666666668
24,26.666666666666668
25,80.0
26,33.33333333333333
27,83.33333333333334
28,70.0
29,90.0
30,73.33333333333333
31,30.0
32,70.0
33,46.666666666666664
34,83.33333333333334
35,86.66666666666667
36,36.666666666666664
37,20.0
38,20.0
39,50.0
40,46.666666666666664
41,26.666666666666668
42,10.0
43,16.666666666666664
