,0
0,80.0
1,93.33333333333333
2,66.66666666666666
3,80.0
4,66.66666666666666
5,70.0
6,83.33333333333334
7,83.33333333333334
8,96.66666666666667
9,93.33333333333333
10,93.33333333333333
11,63.33333333333333
12,36.666666666666664
13,60.0
14,90.0
15,93.33333333333333
16,70.0
17,93.33333333333333
18,93.33333333333333
19,83.33333333333334
20,86.66666666666667
21,86.66666666666667
22,86.66666666666667
23,96.66666666666667
24,93.33333333333333
25,80.0
26,83.33333333333334
27,100.0
28,80.0
29,90.0
30,80.0
31,63.33333333333333
32,70.0
33,93.33333333333333
34,93.33333333333333
35,80.0
36,96.66666666666667
37,73.33333333333333
38,73.33333333333333
39,76.66666666666667
40,86.66666666666667
41,53.333333333333336
42,56.666666666666664
43,90.0
